protein,smiles,pdb,ligand
AKT2,Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12,2jdr,L20
EGFR,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,4hjo,AQ4
EGFR,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1m17,AQ4
EGFR,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,2ito,IRE
EGFR,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,2ity,IRE
EGFR,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,2itz,IRE
EGFR,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,7zyn,0UN
EGFR,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,5x2k,0UN
EGFR,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,3ika,0UN
EGFR,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,5yu9,1E8
HDAC8,Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,6hsk_A,GOK
HDAC8,Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,6hsk_B,GOK
HDAC2,O=C(CCCCCCC(=O)Nc1ccccc1)NO,4lxz_A,SHH
HDAC2,O=C(CCCCCCC(=O)Nc1ccccc1)NO,4lxz_B,SHH
HDAC2,O=C(CCCCCCC(=O)Nc1ccccc1)NO,4lxz_C,SHH
HDAC2,O=C(CCCCCCC(=O)Nc1ccccc1)NO,7zzs_A,SHH
HDAC2,O=C(CCCCCCC(=O)Nc1ccccc1)NO,7zzs_B,SHH
HDAC2,O=C(CCCCCCC(=O)Nc1ccccc1)NO,7zzs_C,SHH
HDAC2,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,4ly1,20Y
HDAC10,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,6wbq,N9W